price,time,delta_1,delta_2,delta_3,delta_4,delta_5,delta_6,delta_7
1140967,1507068000,974350,974007,973978,973088,972705,972426,968706
1158902,1506981600,17935,992285,991942,991913,991023,990640,990361
1159975,1506895200,1073,19008,993358,993015,992986,992096,991713
1132500,1506808800,-27475,-26402,-8467,965883,965540,965511,964621
1109535,1506722400,-22965,-50440,-49367,-31432,942918,942575,942546
1099456,1506636000,-10079,-33044,-60519,-59446,-41511,932839,932496
1088026,1506549600,-11430,-21509,-44474,-71949,-70876,-52941,921409
1054818,1506463200,-33208,-44638,-54717,-77682,-105157,-104084,-86149
1022974,1506376800,-31844,-65052,-76482,-86561,-109526,-137001,-135928
985374,1506290400,-37600,-69444,-102652,-114082,-124161,-147126,-174601
964431,1506204000,-20943,-58543,-90387,-123595,-135025,-145104,-168069
954006,1506117600,-10425,-31368,-68968,-100812,-134020,-145450,-155529
962518,1506031200,8512,-1913,-22856,-60456,-92300,-125508,-136938
1003398,1505944800,40880,49392,38967,18024,-19576,-51420,-84628
1028659,1505858400,25261,66141,74653,64228,43285,5685,-26159
1017935,1505772000,-10724,14537,55417,63929,53504,32561,-5039
986471,1505685600,-31464,-42188,-16927,23953,32465,22040,1097
965369,1505599200,-21102,-52566,-63290,-38029,2851,11363,938
933264,1505512800,-32105,-53207,-84671,-95395,-70134,-29254,-20742
914163,1505426400,-19101,-51206,-72308,-103772,-114496,-89235,-48355
978255,1505340000,64092,44991,12886,-8216,-39680,-50404,-25143
1060571,1505253600,82316,146408,127307,95202,74100,42636,31912
1087801,1505167200,27230,109546,173638,154537,122432,101330,69866
1085301,1505080800,-2500,24730,107046,171138,152037,119932,98830
1094945,1504994400,9644,7144,34374,116690,180782,161681,129576
1125230,1504908000,30285,39929,37429,64659,146975,211067,191966
1157369,1504821600,32139,62424,72068,69568,96798,179114,243206
1166366,1504735200,8997,41136,71421,81065,78565,105795,188111
1153541,1504648800,-12825,-3828,28311,58596,68240,65740,92970
1139717,1504562400,-13824,-26649,-17652,14487,44772,54416,51916
1174114,1504476000,34397,20573,7748,16745,48884,79169,88813
1203851,1504389600,29737,64134,50310,37485,46482,78621,108906
1228018,1504303200,24167,53904,88301,74477,61652,70649,102788
1223298,1504216800,-4720,19447,49184,83581,69757,56932,65929
1189755,1504130400,-33543,-38263,-14096,15641,50038,36214,23389
1164162,1504044000,-25593,-59136,-63856,-39689,-9952,24445,10621
1122267,1503957600,-41895,-67488,-101031,-105751,-81584,-51847,-17450
1101389,1503871200,-20878,-62773,-88366,-121909,-126629,-102462,-72725
1103540,1503784800,2151,-18727,-60622,-86215,-119758,-124478,-100311
1107611,1503698400,4071,6222,-14656,-56551,-82144,-115687,-120407
1092180,1503612000,-15431,-11360,-9209,-30087,-71982,-97575,-131118
1075889,1503525600,-16291,-31722,-27651,-25500,-46378,-88273,-113866
1035624,1503439200,-40265,-56556,-71987,-67916,-65765,-86643,-128538
1024854,1503352800,-10770,-51035,-67326,-82757,-78686,-76535,-97413
1044662,1503266400,19808,9038,-31227,-47518,-62949,-58878,-56727
1059267,1503180000,14605,34413,23643,-16622,-32913,-48344,-44273
1074286,1503093600,15019,29624,49432,38662,-1603,-17894,-33325
1106327,1503007200,32041,47060,61665,81473,70703,30438,14147
1105416,1502920800,-911,31130,46149,60754,80562,69792,29527
1080022,1502834400,-25394,-26305,5736,20755,35360,55168,44398
1083335,1502748000,3313,-22081,-22992,9049,24068,38673,58481
1061720,1502661600,-21615,-18302,-43696,-44607,-12566,2453,17058
1008645,1502575200,-53075,-74690,-71377,-96771,-97682,-65641,-50622
941256,1502488800,-67389,-120464,-142079,-138766,-164160,-165071,-133030
890872,1502402400,-50384,-117773,-170848,-192463,-189150,-214544,-215455
875454,1502316000,-15418,-65802,-133191,-186266,-207881,-204568,-229962
878555,1502229600,3101,-12317,-62701,-130090,-183165,-204780,-201467
870885,1502143200,-7670,-4569,-19987,-70371,-137760,-190835,-212450
841025,1502056800,-29860,-37530,-34429,-49847,-100231,-167620,-220695
822228,1501970400,-18797,-48657,-56327,-53226,-68644,-119028,-186417
771272,1501884000,-50956,-69753,-99613,-107283,-104182,-119600,-169984
720285,1501797600,-50987,-101943,-120740,-150600,-158270,-155169,-170587
697462,1501711200,-22823,-73810,-124766,-143563,-173423,-181093,-177992
704622,1501624800,7160,-15663,-66650,-117606,-136403,-166263,-173933
715532,1501538400,10910,18070,-4753,-55740,-106696,-125493,-155353
702633,1501452000,-12899,-1989,5171,-17652,-68639,-119595,-138392
701293,1501365600,-1340,-14239,-3329,3831,-18992,-69979,-120935
707701,1501279200,6408,5068,-7831,3079,10239,-12584,-63571
687974,1501192800,-19727,-13319,-14659,-27558,-16648,-9488,-32311
662101,1501106400,-25873,-45600,-39192,-40532,-53431,-42521,-35361
665575,1501020000,3474,-22399,-42126,-35718,-37058,-49957,-39047
705609,1500933600,40034,43508,17635,-2092,4316,2976,-9923
726018,1500847200,20409,60443,63917,38044,18317,24725,23385
726751,1500760800,733,21142,61176,64650,38777,19050,25458
719048,1500674400,-7703,-6970,13439,53473,56947,31074,11347
681771,1500588000,-37277,-44980,-44247,-23838,16196,19670,-6203
630379,1500501600,-51392,-88669,-96372,-95639,-75230,-35196,-31722
608242,1500415200,-22137,-73529,-110806,-118509,-117776,-97367,-57333
572614,1500328800,-35628,-57765,-109157,-146434,-154137,-153404,-132995
532660,1500242400,-39954,-75582,-97719,-149111,-186388,-194091,-193358
535067,1500156000,2407,-37547,-73175,-95312,-146704,-183981,-191684
581152,1500069600,46085,48492,8538,-27090,-49227,-100619,-137896
618700,1499983200,37548,83633,86040,46086,10458,-11679,-63071
632095,1499896800,13395,50943,97028,99435,59481,23853,1716
629954,1499810400,-2141,11254,48802,94887,97294,57340,21712
644056,1499724000,14102,11961,25356,62904,108989,111396,71442
677324,1499637600,33268,47370,45229,58624,96172,142257,144664
684756,1499551200,7432,40700,54802,52661,66056,103604,149689
685618,1499464800,862,8294,41562,55664,53523,66918,104466
695986,1499378400,10368,11230,18662,51930,66032,63891,77286
699273,1499292000,3287,13655,14517,21949,55217,69319,67178
705143,1499205600,5870,9157,19525,20387,27819,61087,75189
693932,1499119200,-11211,-5341,-2054,8314,9176,16608,49876
676075,1499032800,-17857,-29068,-23198,-19911,-9543,-8681,-1249
664239,1498946400,-11836,-29693,-40904,-35034,-31747,-21379,-20517
672239,1498860000,8000,-3836,-21693,-32904,-27034,-23747,-13379
686021,1498773600,13782,21782,9946,-7911,-19122,-13252,-9965
689677,1498687200,3656,17438,25438,13602,-4255,-15466,-9596
670759,1498600800,-18918,-15262,-1480,6520,-5316,-23173,-34384
663234,1498514400,-7525,-26443,-22787,-9005,-1005,-12841,-30698
692415,1498428000,29181,21656,2738,6394,20176,28176,16340
720353,1498341600,27938,57119,49594,30676,34332,48114,56114
741786,1498255200,21433,49371,78552,71027,52109,55765,69547
743028,1498168800,1242,22675,50613,79794,72269,53351,57007
742330,1498082400,-698,544,21977,49915,79096,71571,52653
740392,1497996000,-1938,-2636,-1394,20039,47977,77158,69633
722929,1497909600,-17463,-19401,-20099,-18857,2576,30514,59695
707781,1497823200,-15148,-32611,-34549,-35247,-34005,-12572,15366
703025,1497736800,-4756,-19904,-37367,-39305,-40003,-38761,-17328
686035,1497650400,-16990,-21746,-36894,-54357,-56295,-56993,-55751
658349,1497564000,-27686,-44676,-49432,-64580,-82043,-83981,-84679
693787,1497477600,35438,7752,-9238,-13994,-29142,-46605,-48543
734542,1497391200,40755,76193,48507,31517,26761,11613,-5850
755828,1497304800,21286,62041,97479,69793,52803,48047,32899
789426,1497218400,33598,54884,95639,131077,103391,86401,81645
794760,1497132000,5334,38932,60218,100973,136411,108725,91735
780437,1497045600,-14323,-8989,24609,45895,86650,122088,94402
765842,1496959200,-14595,-28918,-23584,10014,31300,72055,107493
766310,1496872800,468,-14127,-28450,-23116,10482,31768,72523
774287,1496786400,7977,8445,-6150,-20473,-15139,18459,39745
743117,1496700000,-31170,-23193,-22725,-37320,-51643,-46309,-12711
699628,1496613600,-43489,-74659,-66682,-66214,-80809,-95132,-89798
687536,1496527200,-12092,-55581,-86751,-78774,-78306,-92901,-107224
674398,1496440800,-13138,-25230,-68719,-99889,-91912,-91444,-106039
658307,1496354400,-16091,-29229,-41321,-84810,-115980,-108003,-107535
639024,1496268000,-19283,-35374,-48512,-60604,-104093,-135263,-127286
618508,1496181600,-20516,-39799,-55890,-69028,-81120,-124609,-155779
622672,1496095200,4164,-16352,-35635,-51726,-64864,-76956,-120445
620234,1496008800,-2438,1726,-18790,-38073,-54164,-67302,-79394
599115,1495922400,-21119,-23557,-19393,-39909,-59192,-75283,-88421
629342,1495836000,30227,9108,6670,10834,-9682,-28965,-45056
695818,1495749600,66476,96703,75584,73146,77310,56794,37511
684202,1495663200,-11616,54860,85087,63968,61530,65694,45178
628623,1495576800,-55579,-67195,-719,29508,8389,5951,10115
605138,1495490400,-23485,-79064,-90680,-24204,6023,-15096,-17534
579744,1495404000,-25394,-48879,-104458,-116074,-49598,-19371,-40490
558500,1495317600,-21244,-46638,-70123,-125702,-137318,-70842,-40615
542150,1495231200,-16350,-37594,-62988,-86473,-142052,-153668,-87192
519634,1495144800,-22516,-38866,-60110,-85504,-108989,-164568,-176184
509573,1495058400,-10061,-32577,-48927,-70171,-95565,-119050,-174629
493559,1494972000,-16014,-26075,-48591,-64941,-86185,-111579,-135064
488015,1494885600,-5544,-21558,-31619,-54135,-70485,-91729,-117123
499662,1494799200,11647,6103,-9911,-19972,-42488,-58838,-80082
498361,1494712800,-1301,10346,4802,-11212,-21273,-43789,-60139
494719,1494626400,-3642,-4943,6704,1160,-14854,-24915,-47431
511954,1494540000,17235,13593,12292,23939,18395,2381,-7680
513199,1494453600,1245,18480,14838,13537,25184,19640,3626
498531,1494367200,-14668,-13423,3812,170,-1131,10516,4972
483001,1494280800,-15530,-30198,-28953,-11718,-15360,-16661,-5014
460280,1494194400,-22721,-38251,-52919,-51674,-34439,-38081,-39382
450668,1494108000,-9612,-32333,-47863,-62531,-61286,-44051,-47693
449739,1494021600,-929,-10541,-33262,-48792,-63460,-62215,-44980
448152,1493935200,-1587,-2516,-12128,-34849,-50379,-65047,-63802
434598,1493848800,-13554,-15141,-16070,-25682,-48403,-63933,-78601
421615,1493762400,-12983,-26537,-28124,-29053,-38665,-61386,-76916
411813,1493676000,-9802,-22785,-36339,-37926,-38855,-48467,-71188
397643,1493589600,-14170,-23972,-36955,-50509,-52096,-53025,-62637
389078,1493503200,-8565,-22735,-32537,-45520,-59074,-60661,-61590
387247,1493416800,-1831,-10396,-24566,-34368,-47351,-60905,-62492
382862,1493330400,-4385,-6216,-14781,-28951,-38753,-51736,-65290
375620,1493244000,-7242,-11627,-13458,-22023,-36193,-45995,-58978
368030,1493157600,-7590,-14832,-19217,-21048,-29613,-43783,-53585
360455,1493071200,-7575,-15165,-22407,-26792,-28623,-37188,-51358
358286,1492984800,-2169,-9744,-17334,-24576,-28961,-30792,-39357
357599,1492898400,-687,-2856,-10431,-18021,-25263,-29648,-31479
363341,1492812000,5742,5055,2886,-4689,-12279,-19521,-23906
360400,1492725600,-2941,2801,2114,-55,-7630,-15220,-22462
354840,1492639200,-5560,-8501,-2759,-3446,-5615,-13190,-20780
350928,1492552800,-3912,-9472,-12413,-6671,-7358,-9527,-17102
347917,1492466400,-3011,-6923,-12483,-15424,-9682,-10369,-12538
348221,1492380000,304,-2707,-6619,-12179,-15120,-9378,-10065
348393,1492293600,172,476,-2535,-6447,-12007,-14948,-9206
348356,1492207200,-37,135,439,-2572,-6484,-12044,-14985
349555,1492120800,1199,1162,1334,1638,-1373,-5285,-10845
355013,1492034400,5458,6657,6620,6792,7096,4085,173
356657,1491948000,1644,7102,8301,8264,8436,8740,5729
356979,1491861600,322,1966,7424,8623,8586,8758,9062
353209,1491775200,-3770,-3448,-1804,3654,4853,4816,4988
348640,1491688800,-4569,-8339,-8017,-6373,-915,284,247
348529,1491602400,-111,-4680,-8450,-8128,-6484,-1026,173
345565,1491516000,-2964,-3075,-7644,-11414,-11092,-9448,-3990
335826,1491429600,-9739,-12703,-12814,-17383,-21153,-20831,-19187
331609,1491343200,-4217,-13956,-16920,-17031,-21600,-25370,-25048
332175,1491256800,566,-3651,-13390,-16354,-16465,-21034,-24804
323679,1491170400,-8496,-7930,-12147,-21886,-24850,-24961,-29530
316394,1491084000,-7285,-15781,-15215,-19432,-29171,-32135,-32246
311782,1490997600,-4612,-11897,-20393,-19827,-24044,-33783,-36747
304356,1490911200,-7426,-12038,-19323,-27819,-27253,-31470,-41209
299797,1490824800,-4559,-11985,-16597,-23882,-32378,-31812,-36029
299213,1490738400,-584,-5143,-12569,-17181,-24466,-32962,-32396
293095,1490652000,-6118,-6702,-11261,-18687,-23299,-30584,-39080
281043,1490565600,-12052,-18170,-18754,-23313,-30739,-35351,-42636
272262,1490482800,-8781,-20833,-26951,-27535,-32094,-39520,-44132
276297,1490396400,4035,-4746,-16798,-22916,-23500,-28059,-35485
291554,1490310000,15257,19292,10511,-1541,-7659,-8243,-12802
299116,1490223600,7562,22819,26854,18073,6021,-97,-681
305508,1490137200,6392,13954,29211,33246,24465,12413,6295
302760,1490050800,-2748,3644,11206,26463,30498,21717,9665
294233,1489964400,-8527,-11275,-4883,2679,17936,21971,13190
293705,1489878000,-528,-9055,-11803,-5411,2151,17408,21443
310924,1489791600,17219,16691,8164,5416,11808,19370,34627
338306,1489705200,27382,44601,44073,35546,32798,39190,46752
357628,1489618800,19322,46704,63923,63395,54868,52120,58512
361017,1489532400,3389,22711,50093,67312,66784,58257,55509
364581,1489446000,3564,6953,26275,53657,70876,70348,61821
358219,1489359600,-6362,-2798,591,19913,47295,64514,63986
349602,1489273200,-8617,-14979,-11415,-8026,11296,38678,55897
350441,1489186800,839,-7778,-14140,-10576,-7187,12135,39517
349896,1489100400,-545,294,-8323,-14685,-11121,-7732,11590
350062,1489014000,166,-379,460,-8157,-14519,-10955,-7566
362000,1488927600,11938,12104,11559,12398,3781,-2581,983
372796,1488841200,10796,22734,22900,22355,23194,14577,8215
373433,1488754800,637,11433,23371,23537,22992,23831,15214
370767,1488668400,-2666,-2029,8767,20705,20871,20326,21165
372500,1488582000,1733,-933,-296,10500,22438,22604,22059
367085,1488495600,-5415,-3682,-6348,-5711,5085,17023,17189
361923,1488409200,-5162,-10577,-8844,-11510,-10873,-77,11861
351140,1488322800,-10783,-15945,-21360,-19627,-22293,-21656,-10860
347782,1488236400,-3358,-14141,-19303,-24718,-22985,-25651,-25014
342197,1488150000,-5585,-8943,-19726,-24888,-30303,-28570,-31236
341962,1488063600,-235,-5820,-9178,-19961,-25123,-30538,-28805
344769,1487977200,2807,2572,-3013,-6371,-17154,-22316,-27731
341343,1487890800,-3426,-619,-854,-6439,-9797,-20580,-25742
331755,1487804400,-9588,-13014,-10207,-10442,-16027,-19385,-30168
325422,1487718000,-6333,-15921,-19347,-16540,-16775,-22360,-25718
316449,1487631600,-8973,-15306,-24894,-28320,-25513,-25748,-31333
307986,1487545200,-8463,-17436,-23769,-33357,-36783,-33976,-34211
308395,1487458800,409,-8054,-17027,-23360,-32948,-36374,-33567
307763,1487372400,-632,-223,-8686,-17659,-23992,-33580,-37006
301346,1487286000,-6417,-7049,-6640,-15103,-24076,-30409,-39997
294012,1487199600,-7334,-13751,-14383,-13974,-22437,-31410,-37743
293679,1487113200,-333,-7667,-14084,-14716,-14307,-22770,-31743
293223,1487026800,-456,-789,-8123,-14540,-15172,-14763,-23226
293410,1486940400,187,-269,-602,-7936,-14353,-14985,-14576
294114,1486854000,704,891,435,102,-7232,-13649,-14281
289274,1486767600,-4840,-4136,-3949,-4405,-4738,-12072,-18489
291327,1486681200,2053,-2787,-2083,-1896,-2352,-2685,-10019
300999,1486594800,9672,11725,6885,7589,7776,7320,6987
303117,1486508400,2118,11790,13843,9003,9707,9894,9438
298856,1486422000,-4261,-2143,7529,9582,4742,5446,5633
294917,1486335600,-3939,-8200,-6082,3590,5643,803,1507
293345,1486249200,-1572,-5511,-9772,-7654,2018,4071,-769
292231,1486162800,-1114,-2686,-6625,-10886,-8768,904,2957
288579,1486076400,-3652,-4766,-6338,-10277,-14538,-12420,-2748
283187,1485990000,-5392,-9044,-10158,-11730,-15669,-19930,-17812
275904,1485903600,-7283,-12675,-16327,-17441,-19013,-22952,-27213
267521,1485817200,-8383,-15666,-21058,-24710,-25824,-27396,-31335
267289,1485730800,-232,-8615,-15898,-21290,-24942,-26056,-27628
268235,1485644400,946,714,-7669,-14952,-20344,-23996,-25110
268343,1485558000,108,1054,822,-7561,-14844,-20236,-23888
265954,1485471600,-2389,-2281,-1335,-1567,-9950,-17233,-22625
262965,1485385200,-2989,-5378,-5270,-4324,-4556,-12939,-20222
260237,1485298800,-2728,-5717,-8106,-7998,-7052,-7284,-15667
265108,1485212400,4871,2143,-846,-3235,-3127,-2181,-2413
267179,1485126000,2071,6942,4214,1225,-1164,-1056,-110
266902,1485039600,-277,1794,6665,3937,948,-1441,-1333
262702,1484953200,-4200,-4477,-2406,2465,-263,-3252,-5641
259620,1484866800,-3082,-7282,-7559,-5488,-617,-3345,-6334
258722,1484780400,-898,-3980,-8180,-8457,-6386,-1515,-4243
256188,1484694000,-2534,-3432,-6514,-10714,-10991,-8920,-4049
246305,1484607600,-9883,-12417,-13315,-16397,-20597,-20874,-18803
241152,1484521200,-5153,-15036,-17570,-18468,-21550,-25750,-26027
240044,1484434800,-1108,-6261,-16144,-18678,-19576,-22658,-26858
237795,1484348400,-2249,-3357,-8510,-18393,-20927,-21825,-24907
231544,1484262000,-6251,-8500,-9608,-14761,-24644,-27178,-28076
238053,1484175600,6509,258,-1991,-3099,-8252,-18135,-20669
255392,1484089200,17339,23848,17597,15348,14240,9087,-796
264603,1484002800,9211,26550,33059,26808,24559,23451,18298
265438,1483916400,835,10046,27385,33894,27643,25394,24286
263152,1483830000,-2286,-1451,7760,25099,31608,25357,23108
265243,1483743600,2091,-195,640,9851,27190,33699,27448
290989,1483657200,25746,27837,25551,26386,35597,52936,59445
310730,1483570800,19741,45487,47578,45292,46127,55338,72677
308555,1483484400,-2175,17566,43312,45403,43117,43952,53163
301841,1483398000,-6714,-8889,10852,36598,38689,36403,37238
294573,1483311600,-7268,-13982,-16157,3584,29330,31421,29135
285080,1483225200,-9493,-16761,-23475,-25650,-5909,19837,21928
282023,1483138800,-3057,-12550,-19818,-26532,-28707,-8966,16780
283727,1483052400,1704,-1353,-10846,-18114,-24828,-27003,-7262
283241,1482966000,-486,1218,-1839,-11332,-18600,-25314,-27489
277433,1482879600,-5808,-6294,-4590,-7647,-17140,-24408,-31122
268112,1482793200,-9321,-15129,-15615,-13911,-16968,-26461,-33729
262326,1482706800,-5786,-15107,-20915,-21401,-19697,-22754,-32247
262583,1482620400,257,-5529,-14850,-20658,-21144,-19440,-22497
266120,1482534000,3537,3794,-1992,-11313,-17121,-17607,-15903
259452,1482447600,-6668,-3131,-2874,-8660,-17981,-23789,-24275
248488,1482361200,-10964,-17632,-14095,-13838,-19624,-28945,-34753
239208,1482274800,-9280,-20244,-26912,-23375,-23118,-28904,-38225
237106,1482188400,-2102,-11382,-22346,-29014,-25477,-25220,-31006
237101,1482102000,-5,-2107,-11387,-22351,-29019,-25482,-25225
236112,1482015600,-989,-994,-3096,-12376,-23340,-30008,-26471
234638,1481929200,-1474,-2463,-2468,-4570,-13850,-24814,-31482
233217,1481842800,-1421,-2895,-3884,-3889,-5991,-15271,-26235
232924,1481756400,-293,-1714,-3188,-4177,-4182,-6284,-15564
232314,1481670000,-610,-903,-2324,-3798,-4787,-4792,-6894
230369,1481583600,-1945,-2555,-2848,-4269,-5743,-6732,-6737
228848,1481497200,-1521,-3466,-4076,-4369,-5790,-7264,-8253
230373,1481410800,1525,4,-1941,-2551,-2844,-4265,-5739
229875,1481324400,-498,1027,-494,-2439,-3049,-3342,-4763
228250,1481238000,-1625,-2123,-598,-2119,-4064,-4674,-4967
225820,1481151600,-2430,-4055,-4553,-3028,-4549,-6494,-7104
221273,1481065200,-4547,-6977,-8602,-9100,-7575,-9096,-11041
221161,1480978800,-112,-4659,-7089,-8714,-9212,-7687,-9208
222277,1480892400,1116,1004,-3543,-5973,-7598,-8096,-6571
226413,1480806000,4136,5252,5140,593,-1837,-3462,-3960
225399,1480719600,-1014,3122,4238,4126,-421,-2851,-4476
222954,1480633200,-2445,-3459,677,1793,1681,-2866,-5296
218844,1480546800,-4110,-6555,-7569,-3433,-2317,-2429,-6976
216736,1480460400,-2108,-6218,-8663,-9677,-5541,-4425,-4537
214057,1480374000,-2679,-4787,-8897,-11342,-12356,-8220,-7104
214624,1480287600,567,-2112,-4220,-8330,-10775,-11789,-7653
214748,1480201200,124,691,-1988,-4096,-8206,-10651,-11665
214872,1480114800,124,248,815,-1864,-3972,-8082,-10527
215526,1480028400,654,778,902,1469,-1210,-3318,-7428
217374,1479942000,1848,2502,2626,2750,3317,638,-1470
217469,1479855600,95,1943,2597,2721,2845,3412,733
214171,1479769200,-3298,-3203,-1355,-701,-577,-453,114
214761,1479682800,590,-2708,-2613,-765,-111,13,137
217506,1479596400,2745,3335,37,132,1980,2634,2758
217591,1479510000,85,2830,3420,122,217,2065,2719
216408,1479423600,-1183,-1098,1647,2237,-1061,-966,882
213316,1479337200,-3092,-4275,-4190,-1445,-855,-4153,-4058
207459,1479250800,-5857,-8949,-10132,-10047,-7302,-6712,-10010
204084,1479164400,-3375,-9232,-12324,-13507,-13422,-10677,-10087
201901,1479078000,-2183,-5558,-11415,-14507,-15690,-15605,-12860
200935,1478991600,-966,-3149,-6524,-12381,-15473,-16656,-16571
202765,1478905200,1830,864,-1319,-4694,-10551,-13643,-14826
203101,1478818800,336,2166,1200,-983,-4358,-10215,-13307
203047,1478732400,-54,282,2112,1146,-1037,-4412,-10269
200692,1478646000,-2355,-2409,-2073,-243,-1209,-3392,-6767
196206,1478559600,-4486,-6841,-6895,-6559,-4729,-5695,-7878
196269,1478473200,63,-4423,-6778,-6832,-6496,-4666,-5632
195485,1478386800,-784,-721,-5207,-7562,-7616,-7280,-5450
193509,1478300400,-1976,-2760,-2697,-7183,-9538,-9592,-9256
196347,1478214000,2838,862,78,141,-4345,-6700,-6754
200736,1478127600,4389,7227,5251,4467,4530,44,-2311
201451,1478041200,715,5104,7942,5966,5182,5245,759
198561,1477954800,-2890,-2175,2214,5052,3076,2292,2355
198089,1477868400,-472,-3362,-2647,1742,4580,2604,1820
199655,1477778400,1566,1094,-1796,-1081,3308,6146,4170
197110,1477692000,-2545,-979,-1451,-4341,-3626,763,3601
193646,1477605600,-3464,-6009,-4443,-4915,-7805,-7090,-2701
191145,1477519200,-2501,-5965,-8510,-6944,-7416,-10306,-9591
186639,1477432800,-4506,-7007,-10471,-13016,-11450,-11922,-14812
184813,1477346400,-1826,-6332,-8833,-12297,-14842,-13276,-13748
184590,1477260000,-223,-2049,-6555,-9056,-12520,-15065,-13499
183152,1477173600,-1438,-1661,-3487,-7993,-10494,-13958,-16503
179812,1477087200,-3340,-4778,-5001,-6827,-11333,-13834,-17298
177935,1477000800,-1877,-5217,-6655,-6878,-8704,-13210,-15711
177095,1476914400,-840,-2717,-6057,-7495,-7718,-9544,-14050
177463,1476828000,368,-472,-2349,-5689,-7127,-7350,-9176
178353,1476741600,890,1258,418,-1459,-4799,-6237,-6460
178729,1476655200,376,1266,1634,794,-1083,-4423,-5861
178507,1476568800,-222,154,1044,1412,572,-1305,-4645
177565,1476482400,-942,-1164,-788,102,470,-370,-2247
177246,1476396000,-319,-1261,-1483,-1107,-217,151,-689
176522,1476309600,-724,-1043,-1985,-2207,-1831,-941,-573
176471,1476223200,-51,-775,-1094,-2036,-2258,-1882,-992
172261,1476136800,-4210,-4261,-4985,-5304,-6246,-6468,-6092
168541,1476050400,-3720,-7930,-7981,-8705,-9024,-9966,-10188
168262,1475964000,-279,-3999,-8209,-8260,-8984,-9303,-10245
167879,1475877600,-383,-662,-4382,-8592,-8643,-9367,-9686
166989,1475791200,-890,-1273,-1552,-5272,-9482,-9533,-10257
166960,1475704800,-29,-919,-1302,-1581,-5301,-9511,-9562
166617,1475618400,-343,-372,-1262,-1645,-1924,-5644,-9854
